,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
343,6,1.0,8,True,[100000],4,-2.5839744022477253,-2.7471501074160383
344,6,1.0,16,True,[100000],2,-2.5845155264188193,-2.584494529274357
345,6,1.0,16,True,[100000],2,-2.5845155264188193,-3.14664123382605
346,6,1.0,16,True,[100000],2,-2.5845155264188193,-3.5064420702724366
347,6,1.0,16,True,[100000],2,-2.5845155264188193,-3.5578154946780294
348,6,1.0,16,True,[100000],2,-2.5845155264188193,-3.7305497927247164
349,6,1.0,16,True,[100000],2,-2.5845155264188193,-4.101591512612138
350,6,1.0,16,True,[100000],2,-2.5845155264188193,-4.030994897081257
351,6,1.0,16,True,[100000],2,-2.5845155264188193,-4.214604980992972
352,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849752219539437
353,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849327260504738
354,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849370399607263
355,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849336570534245
356,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849288471403975
357,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849243453559803
358,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849137074564172
359,6,1.0,16,True,[100000],4,-2.5845155264188193,-2.5849159261188763
360,8,0.1,2,True,[100000],2,-2.8609942299390183,-2.8601577927467914
361,8,0.1,2,True,[100000],4,-2.8609942299390183,-2.9049059851408003
362,8,0.1,4,True,[100000],2,-2.836597640768419,-2.960420658326483
363,8,0.1,4,True,[100000],2,-2.836597640768419,-2.88291476528605
364,8,0.1,4,True,[100000],4,-2.836597640768419,-2.9744688479751384
365,8,0.1,4,True,[100000],4,-2.836597640768419,-2.958110753291738
366,8,0.1,8,True,[100000],2,-2.8736428093126682,-2.9748992642594896
367,8,0.1,8,True,[100000],2,-2.8736428093126682,-3.200116919552065
368,8,0.1,8,True,[100000],2,-2.8736428093126682,-2.9479066804418874
369,8,0.1,8,True,[100000],2,-2.8736428093126682,-2.910175676956366
370,8,0.1,8,True,[100000],4,-2.8736428093126682,-3.0646527440562292
371,8,0.1,8,True,[100000],4,-2.8736428093126682,-2.984638865210666
372,8,0.1,8,True,[100000],4,-2.8736428093126682,-2.9793820862171745
373,8,0.1,8,True,[100000],4,-2.8736428093126682,-2.9787697422280597
374,8,0.1,16,True,[100000],2,-2.9530296880494005,-2.9829409661601867
375,8,0.1,16,True,[100000],2,-2.9530296880494005,-2.973373554273069
376,8,0.1,16,True,[100000],2,-2.9530296880494005,-2.967167207664709
377,8,0.1,16,True,[100000],2,-2.9530296880494005,-3.0677907841631713
378,8,0.1,16,True,[100000],2,-2.9530296880494005,-2.984651099223869
379,8,0.1,16,True,[100000],2,-2.9530296880494005,-3.292436272318663
380,8,0.1,16,True,[100000],2,-2.9530296880494005,-3.2713446331474425
381,8,0.1,16,True,[100000],2,-2.9530296880494005,-4.215549372906716
382,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0143295465880477
